ID,Entry,OriginalEmotion,ValidatedEmotion
10490,ders anlatırken başka dersle ilgilenen öğrencilere öfkeleniyorum,Anger,Anger
10491,"babamı kaybettiğimde çok büyük acı duydum çünkü yaşım küçüktü, kabullenemedim",Sadness,Sadness
10492,"yerlerdeki saç, toz  ve kapı kollarına dokunmaktan nefret ediyorum",Disgust,Disgust
10493,komşularım evde sürpriz doğum günü partisi hazırlayınca ağzım açık kaldı,Surprise,Surprise
10494,babam bana yeni telefon aldığında çok mutlu oldum.,Happy,Happy
10495,başarılı olamamaktan korkuyorum,Fear,Fear
10496,bir arkadaşım arkamdan iş çevirirse çok öfkelenirim.,Anger,Anger
10497,YGS sınavı sonucumu öğrendiğimde çok üzüldüm.,Sadness,Sadness
10498,kedilerden çok tiksinirim.,Disgust,Disgust
10499,çok sevdiğim biri asla yapmaz dediğim bir şeyi yaptığında çok şaşırmıştım,Surprise,Surprise
10500,istediğim liseyi kazanınca havalara uçmuştum. İstediğim bir şeyi elde edince sevinirim.,Happy,Happy
10501,Allah'tan korkarım. bir sınavda kaydırma yaptım sandığımda çok korktum.,Fear,Fear
10502,babam ukala ukala konuşunca sinirleniyorum.,Anger,Anger
10503,babam evi terk edince ve tuttuğum parti düşük oy alınca hüzünlendim.,Sadness,Sadness
10504,hayvanlardan ve kusmadan midem bulanır.,Disgust,Disgust
10506,her sene doğum günümü sevdiklerimle kutlamak en büyük mutluluğum.,Happy,Happy
10507,karanlıkta ilk kaldığım zaman çok korkmuştum.,Fear,Fear
10508,haksızlığa uğradığım zamanlar çok öfkelenirim.,Anger,Anger
10509,"annem hastalanınca çok hassas oluyorum, üzülüyorum.",Sadness,Sadness
10510,küçükken babamın sakallarından iğrenirdim.,Disgust,Disgust
10511,ilk kez hediye aldığımda çok şaşırdım.,Surprise,Surprise
10512,arkadaşlarımın bana harika bir doğum günü hazırlamaları beni çok mutlu etti.,Happy,Happy
10513,göz doktoruna ilk gittiğimde korkmuştum.,Fear,Fear
10514,arkadaşımın haksız yere beni suçlamasına öfkelendim.,Anger,Anger
10516,arkadaşlarımın sürekli bağırarak konuşmalarından sıkıldım.,Disgust,Anger
10517,kuzenimi bir anda karşımda görmem,Surprise,Surprise
10518,kardeşim doğduğunda mutlu oldum.,Happy,Happy
10519,dişçiden çok korkarım,Fear,Fear
10520,arkadaşım bana kazık atınca çok kızdım,Anger,Anger
10521,yıldızların altında filmini izlediğimde çok üzülmüştüm.,Sadness,Sadness
10522,sigara içen insanın deneme sınavında yanıma oturmasından tiksiniyorum. İğrenç kokuyor. Buna bir önlem alınsın.,Disgust,Disgust
10524,sevgilimle çıkmaya başladığımda çok mutlu oldum,Happy,Happy
10525,hastaneye yattığımda çok korkmuştum,Fear,Fear
10526,kardeşim odamı dağıtınca çok öfkelendim.,Anger,Anger
10527,YGS sonuçları açıklandığında çok üzüldüm.,Sadness,Sadness
10528,arkadaşlarımın sigara içmesi,Disgust,Disgust
10529,sevgilim İzmir de okumaya karar verdiğini duyduğumda şaşırdım,Surprise,Surprise
10530,fenerbahçe'nin basketbol maçları benim için bir mutluluk kaynağıdır.,Happy,Happy
10531,İŞİD 'in kafa kesmesinden korkuyorum,Fear,Fear
10532,kavga anında çok öfkeli olurum.,Anger,Anger
10533,İŞİD'nin canlı insanları yakması beni üzüyor.,Sadness,Sadness
10534,yandaş medyadan tiksiniyorum.,Disgust,Disgust
10535,hükümetin devrilmesine şaşarım,Surprise,Surprise
10536,ehliyet aldığımda mutlu oldum.,Happy,Happy
10537,benden çok daha kalıplı biri bana saldırınca çok korktum.,Fear,Fear
10538,sigaran var mı diye soranlara öfkeleniyorum.,Anger,Anger
10539,taraftarı olduğum takım ligden düşünce üzüldüm.,Sadness,Sadness
10540,küfürlü konuşanlardan tiksiniyorum.,Disgust,Disgust
10541,arkadaşa milli piyango çıkınca çok şaşırdım.,Surprise,Surprise
10542,ilk bilgisayarımı aldığımda çok mutlu oldum.,Happy,Happy
10543,ilk ameliyat olduğumda çok tırsmıştım.,Fear,Fear
10544,arkadaşlarım beni ektiğinde çok öfkelenirim.,Anger,Anger
10545,beklentiye girdiğimde ve istediğim gerçekleşmeyince çok üzülüyorum.,Sadness,Sadness
10555,kadıköy'deki fenerbahçe-galatasaray maçlarından hep korktum.,Fear,Fear
10556,arkadaşım yalan söylediğinde öfkelenirim.,Anger,Anger
10557,kuşum ölünce çok üzüldüm.,Sadness,Sadness
10558,sigara dumanından tiksiniyorum.,Disgust,Disgust
10559,sürpriz kuponum tutunca şaşırdım.,Surprise,Surprise
10560,beşiktaş'ın şampiyon olması benim sevinç kaynağım.,Happy,Happy
10561,yakınlarıma bir şey olması,Fear,Sadness
10562,arkadaşımın yalan söylemesi beni delirtir.,Anger,Anger
10563,arkadaşımla aramızın bozulması,Sadness,Sadness
10564,ev pisliği,Disgust,Disgust
10565,çalışkan olmayan bir arkadaşım üniversiteye gidince çok şaşırdım.,Surprise,Surprise
10566,annem sarılınca çok mutlu olurum.,Happy,Happy
10567,kendimden korkarım.,Fear,Fear
10568,mutsuzluğuma öfkelenirim.,Anger,Anger
10569,annemden uzak kalınca üzülürüm.,Sadness,Sadness
10570,sigara kokusundan çok tiksinirim.,Disgust,Disgust
10571,tanımadığım biri seslenirse şaşırırım.,Surprise,Surprise
10572,üniversiteyi kazanınca havalara uçarım,Happy,Happy
10573,ilk defa yalnız kaldığımda çok korkmuştum,Fear,Fear
10574,kız arkadaşım benden ayrıldığında çok öfkelenmiştim,Anger,Anger
10575,kaplumbağam öldüğünde kahrolmuştum,Sadness,Sadness
10576,sigara kokusundan çok tiksinirim,Disgust,Disgust
10577,tuttuğum takım birinci olursa çok şaşırırım,Surprise,Surprise
10578,veterinerlik fakültesini kazandığım an havalara uçtum,Happy,Happy
10579,futbol oynayamamak en büyük fobim,Fear,Fear
10580,arkadaşımla kavga ettiğimde sinirlendim,Anger,Anger
10581,ailemden birisi öldüğünde uzun zaman yas tutmuştum,Sadness,Sadness
10582,"yemek yerken konuşanlardan hoşlanmıyorum, ağızlarının içindekiler görünüyor",Disgust,Disgust
10583,oğlum ilk defa baba dediğinde gözlerim açık kalmıştı,Surprise,Surprise
10584,ilk kez aşık olduğum zaman ayaklarım yerden kesilmişti,Happy,Happy
10585,karanlık içimi ürpertir,Fear,Fear
10586,paketteki son sigaramı birisi alırsa kan beynime fırlar,Anger,Anger
10587,dedemin erken yaşta vefat etmesi beni kahretti,Sadness,Sadness
10588,"kimsenin bardağından su içemem, midem bulanır",Disgust,Disgust
10589,çok çirkin olan kız türkiye güzeli seçilince apışıp kaldım,Surprise,Surprise
10590,arkadaşlarımla beraberken hep mutluyumdur,Happy,Happy
10591,Allah'tan başka bir şeyden korkmam,Fear,Fear
10592,verilen sözlerin tutulmaması beni çıldırtır,Anger,Anger
10593,annem ve babamı üzgün görmek beni mahveder,Sadness,Sadness
10595,sınıfın en kötü öğrencisinin bile benden yüksek alması beni şaşırttı,Surprise,Surprise
10596,bu yıl liseden mezun olduğum için çok mutluyum,Happy,Happy
10598,ders notlarımı araklamak için peşimden koşanlar beni deli ediyor,Anger,Anger
10599,ben küçükken ölen dedemi hatırlamak beni üzüyor,Sadness,Sadness
10600,osuranlardan tiksinirim,Disgust,Disgust
10601,temmuz ayında yağmur yağarsa şaşırırım,Surprise,Surprise
10602,"ufku açık, hayat dolu insanlarla konuştuğum zaman mutlu olurum",Happy,Happy
10603,korku filmlerinden ödüm kopar,Fear,Fear
10604,dar beyinli insanların konuşmalarını dinlemek zorunda kaldığımda öfkelenirim,Anger,Anger
10605,canım sıkıldığında yapacak bir şey olmadığını bilmek beni kahreder,Sadness,Sadness
10606,kadınlara sapık gibi bakan erkeklerden tiksinirim,Disgust,Disgust
10607,zengin bebelerini görünce şaşırıp kalırım,Surprise,Surprise
10608,balom çok eğlenceli geçtiği için mutlu oldum.,Happy,Happy
10609,ablam telefonu ağlayarak açıp söylemesi gerekeni hemen söylemeyince aklıma daha kötü şeyler geldiğinde çok korktum.,Fear,Fear
10610,arkadaş dediğim insanların gördükleri halde tanımamazlıktan gelişi beni öfkelendirir.,Anger,Anger
10611,sınavlarımdan kötü sonuçlar aldığımda üzüldüm.,Sadness,Sadness
10612,evde böcek görmem midemi bulandırır.,Disgust,Disgust
10613,arkadaşlarımın anlattığı olaya çok şaşırmıştım.,Surprise,Surprise
10614,bu yıl lisede son sınıfım ve mezun oluyorum. Lise hayatım bitti.,Happy,Ambigious
10615,LYS sınavında sıralamamın geri gitmesinden korkuyorum.,Fear,Fear
10616,"beşiktaş'ın son dört haftada sergilediği performansa çok sinirlendim. Şampiyon olamamasından dolayı hakemlere, futbolculara sövdüm.",Anger,Anger
10617,"çok yakın arkadaşımın, kardeşimin babası öldü. Buna çok üzüldüm. Acısını birlikte yaşadık.",Sadness,Sadness
10618,bir başkasının bardağından su içmekten tiksinirim.,Disgust,Disgust
10619,YGS sınavının beklediğimden düşük gelmesine şaşırdım.,Surprise,Surprise
10620,"istanbul'da gezdiğim, bulunduğum her an mutluyum.",Happy,Happy
10621,"trafik kazaları, hastane gibi ortamlarda genelde korkarım.",Fear,Fear
10622,doğum günümde balıkesir'de yapacak bir şey bulamayınca öfkelenirim.,Anger,Anger
10623,üzüldüğüm bir şey yok hayat üzülmek için çok kısa,Sadness,Ambigious
10624,"sapık ve pis erkeklerden, aç gözlülerden ve kıskanç insanlardan midem bulanacak kadar tiksiniyorum.",Disgust,Disgust
10625,insan evladının yaptığı bir çok harekete şaşkınca bakıyorum.,Surprise,Surprise
10626,lisenin bitmesine mutlu oldum.,Happy,Happy
10627,üniversiteyi kazanamamaktan korkuyorum.,Fear,Fear
10628,biri eşyalarımı karıştırınca çok öfkeleniyorum.,Anger,Anger
10629,zor bir anımda çevremdekilerin yanımda olmamasına üzülüyorum.,Sadness,Sadness
10630,yalan söyleyen insanlardan tiksiniyorum.,Disgust,Disgust
10631,YGS'den beklediğimden iyi geldiğinde çok şaşırdım.,Surprise,Surprise
10632,tıp fakültesini kazanınca çok sevindim.,Happy,Happy
10633,sakalımı kesmekten çok korkuyorum. Çirkin oluyorum.,Fear,Fear
10634,arkadaşlarımın üzerimi yırttığında çok sinirlendim.,Anger,Anger
10635,liseyi bitirmekten çok hüzün duydum.,Sadness,Sadness
10636,kendi soğuk esprilerinden tiksiniyorum.,Disgust,Disgust
10637,insanları yaptığım esprilerimle şaşırtmayı seviyorum.,Surprise,Happy
10638,okuldaki mezuniyet gecesi en mutlu olduğum günlerden biriydi,Happy,Happy
10639,gecenin bir yarısı olan ani deprem beni çok korkutmuştu.,Fear,Fear
10640,okuldaki geometri sınavımın çok iyi geçmesine rağmen elli almam beni çok sinirlendirdi.,Anger,Anger
10641,dedemin alzheimer hastası olduğunu duyunca çok üzüldüm.,Sadness,Sadness
10642,karnıbahar yemeğinin kokusundan nefret ederim.,Disgust,Disgust
10643,YGS sonucumu öğrenince hayretler içinde kaldım.,Surprise,Surprise
10644,kız arkadaşımın gözlerime bakarak seni seviyorum demesi beni her zaman mutlu etti,Happy,Happy
10645,ilk kez ameliyat olduğumda ameliyathanenin kokusundan ve ortamından korkmuştum.,Fear,Fear
10647,YGS sınavında istediğim puanı elde edemeyince çok üzüldüm.,Sadness,Sadness
10648,babamın ben sofradayken onunda sofrada sigara içmesi,Disgust,Disgust
10649,beğendiğim bir pantolonu ertesi gün almak için gittiğimde satıldığını görünce şaşırdım.,Surprise,Surprise
10650,bu yıl okulumuzun mezuniyet balosunda çok mutlu oldum.,Happy,Happy
10651,küçükken dişim çekilirken çok korktum.,Fear,Fear
10652,arkadaşlarımla oyun oynayıp kaybettiğimde çok öfkelendim.,Anger,Anger
10653,üniversite sınavında beklemediğim bir notu aldığımda çok üzüldüm.,Sadness,Sadness
10654,bir insanı yalan söylerken yakaladığımda midem bulandı,Disgust,Disgust
10655,uzun süredir görmediğim arkadaşımı görünce çok şaşırdım.,Surprise,Surprise
10656,ablamın banka mülakatını kazanması,Happy,Happy
10657,evde yalnızken gece duyduğum seslerden çok ürktüm.,Fear,Fear
10658,biri ırk ayrımı yaptığında sinirlenirim.,Anger,Anger
10659,vefat eden babaannemin üzüntüsü,Sadness,Sadness
10661,uzakta yaşayan ablamın aniden gelmesi,Surprise,Surprise
10662,okuldaki mezuniyet gecesi en mutlu olduğum anlardan biri,Happy,Happy
10663,yolda giderken karşıma çıkan köpekten çok korktum.,Fear,Fear
10664,sınıfta herhangi bir konuda haksızlığa uğradığımda çok öfkelendim.,Anger,Anger
10665,üniversite sınavında istediğim sonucu alamayınca çok üzüldüm.,Sadness,Sadness
10666,sigara kokusundan tiksiniyorum.,Disgust,Disgust
10667,kuzenimin bize sürpriz olarak  askerden izne gelmesi,Surprise,Surprise
10668,Yeni sınıfıma geldiğim zaman sıra arkadaşımla iyi iletişim kurduğumda ve ön sırada oturan arkadaşlarım da bizimle konuştuğunda çok mutlu olmuştum.,Happy,Happy
10669,Lisede ilk derse girdiğim zaman öğretmenlerim ve arkadaşlarım puanlarımızın düşeceğinden bahsetti ve ben ister istemez biraz korktum.,Fear,Fear
10670,Arkadaşlarımla gezmeye gitmeyi planladığımız zaman arkadaşlarım bazı sebeplerden iptal etmişlerdir.O gün ben evde kaldım.Ertesi gün sosyal medyada önceki gün arkadaşlarımın birlikte Konak'ta şarkı söyledikleri videoyu gördüğüm zaman çok öfkelendim.,Anger,Anger
10671,Arkadaş ortamında bir muhabbet konusu olduğu zaman beni konuşmaya almadıklarında üzülürüm.,Sadness,Sadness
10672,Bana karşı kıskanç davranışları olan beni çekiştiren ve sürekli beni geçmeye çalışan birinin bana karşı aşağılayıcı başkalarına karşı yalakalık barındıran kendini iyilik meleği gibi gösteren davranışlardan tiksinirim.,Disgust,Disgust
10673,Bir kere çok kötü bir sınavım geçmişti.Bende yapamadığım yerleri mecburen kafadan atmıştım 45 beklediğim sınavdan 96 alınca çok şaşırmıştım.,Surprise,Surprise
10674,Dedemin yanımıza gelmesi beni çok mutlu eder.,Happy,Happy
10675,7 8 tane köpek kovaladığı zaman çok korktum.,Fear,Fear
10676,Haklı olduğum halde haksız çıktığım zaman öfkelenirim.,Anger,Anger
10677,Bir kardeşimizin imandan olması.,Sadness,Sadness
10678,Önümde adamın biri kedi ezdiği zaman,Disgust,Ambigious
10679,Eve geldiğimde benim sevdiğim yemeğin olması beni şaşırtır.,Surprise,Surprise
10680,"sabah uyanır uyanmaz baktım abim yoldan gelmiş, sarıldım ona. güne iyi başladım",Happy,Happy
10681,"yurtta film izliyorduk, tuvalet arası verdik. ben tuvaletten dönerken arkadaşım eşek şakası yaptı, yüreğim ağzıma geldi",Fear,Fear
10682,"ablama ders çalıştırıyordum ama başka işlerim vardı. geldim yanına, matematikten hiç anlamaz, anlattım soruyu iki kere yine de anlamadı veya dinlemedi. ama dedi ki 'eğer böyle anlatacaksan yürü git' ben de gittim .böyle biri işte. dinlemez ve azarlar, kafamı attırır",Anger,Anger
10683,"sabah babam kaldırınca namaza kaldırıyor zannettim ama anneanneniz vefat etmiş dedi, çok kötü oldum. aynı üzüntüyü mezarı kazılırken yaşadım.",Sadness,Sadness
10684,"tuvalete gittim bir baktım ki böcek ve tavanda örümcekler var, tuvalette ilk defa midem bulandı, acele yaptım",Disgust,Disgust
10685,"körfez dershanesinin son sınavına girdim, sınav iyi geçti ama çok yanlışım çıktı, şok oldum. acaba gerçek sınav da böyle olur mu diye düşündüm",Surprise,Fear
10686,yeni bir ürün ortaya koymak,Happy,Happy
10687,tuvaletin tıkanmasından ödüm patlıyor,Fear,Fear
10688,arkadaşlarımın eşek şakası yapması,Anger,Anger
10689,kızlarla anlaşamamak benim canımı sıkıyor,Sadness,Sadness
10690,yaşlıların elini öpmekten iğreniyorum,Disgust,Disgust
10691,2.5 TL'ye aldığım dönerin martı eti çıkması,Surprise,Disgust
10692,yeğenim doğduğu zaman ailecek çok sevindik. çok tatlıydı,Happy,Happy
10693,7 yaşındayken kaybolduğum an ağlamaktan gözlerim dolmuştu ve bir an öleceğimi sanmıştım,Fear,Fear
10694,öğretmenimin hiç bilmediği halde bana uyuyorsun dediği an küplere bindim,Anger,Anger
10695,matematik olimpiyatlarına çok çalışıp kazanamadığımı öğrenince iki gün boyunca doğru düzgün konuşamadım kimseyle,Sadness,Sadness
10696,grupça yediğimiz maklubeye arkadaşım elini attığı zaman çok tiksindim,Disgust,Disgust
10697,babam bana ilk kez vurduğu an sanki ailemden birini kaybetmiş gibi hissettim kendimi. büyük şaşkınlık yaşadım,Surprise,Surprise
10698,bursluluk sınavını kazandığımda mutlu olmuştum,Happy,Happy
10699,arkadaşlarım tartışırken biri aniden çığlık attığında ödüm patladı,Fear,Fear
10700,abim yüzünden internetimi kaybettiğimde öfkelenmiştim.,Anger,Anger
10701,matematik sınavından zayıf aldığımda üzülmüştüm,Sadness,Sadness
10702,dışarıda tüküren birini gördüğümde tiksinmiştim,Disgust,Disgust
10703,ailemin doğum günü hediyesi olarak telefon almasına çok şaşırdım,Surprise,Surprise
10704,uzun süredir beklediğim erkek bana mesaj atınca havalara uçtum,Happy,Happy
10705,annemin ve babamın düşük aldığımı öğrenmesinden ürküyorum,Fear,Fear
10706,"haftalar boyu gece gündüz uğraşarak yaptığım matematik projesinden 75 alırken, arkadaşımın 1 gecede kurşun kalemle yaptığı projeden 90 alması beni öfkelendirmişti",Anger,Anger
10707,en yakın arkadaşımla uzun süre konuşmadık çünkü ona saçlarının yağlı olduğunu söylediğim için bana küsmüştü,Sadness,Sadness
10708,"evde hamam böceği görmüştüm, çok tiksindiriciydi",Disgust,Disgust
10709,hiç beklemediğim bir insanın beni yarı yolda bırakmasına çok şaşırdım,Surprise,Surprise
10710,"bulgaristan'da çok sevdiğim bir arkadaşımla acayip eğlenceli bir gece geçirdik, birlikte dans ederken ki mutluluğum hala aklımda",Happy,Happy
10711,"ders çalışırken abim gizlice izliyormuş beni. birden girdi odaya ani bir sesle, ödüm koptu cidden",Fear,Fear
10712,geçen gün annemle tartışırken haksız duruma düşmek beni acayip sinirlendirdi. nedense ona karşı hakkımı savunamıyorum,Anger,Anger
10713,bulgaristan'daki arkadaşlarımdan ayrılmak,Sadness,Sadness
10714,bir insanın geğirmesinden tiksinirim,Disgust,Disgust
10715,geçen sene bizim okuldaki kızların bu sene acayip kilo vermesine şok oldum,Surprise,Surprise
10716,bu okulu kazanınca çok sevinmiştim,Happy,Happy
10717,yaz tatilinde akümüz bittiğinde yolda kalmıştık ve ödüm patlamıştı,Fear,Fear
10718,babam akşam beni bırakacağını söyleyip de sabah uyuyakalınca çok kızdım,Anger,Anger
10719,"SBS"" sınavından sonra çok üzülüp ağlamıştım""",Sadness,Sadness
10720,yeni sınıfa girdiğimde sıraların üzerinde yemek artıklarını görünce midem kalktı,Disgust,Disgust
10721,derste hoca garip sesler çıkarınca ağzım açık kaldı,Surprise,Surprise
10722,yakın arkadaşlarımla birlikte olduğumda,Happy,Happy
10724,benim hakkımda yalan yanlış şeyler söylenince,Anger,Anger
10727,yazın ortasında yağmur yağınca,Surprise,Surprise
10728,düşük bir dersimi çalıştıktan sonra düzeltmek,Happy,Happy
10729,"gece evde yalnız kalmıştım, biraz aralık olan kapı aniden çarpınca oldukça korkmuştum",Fear,Fear
10730,kardeşimin eşyalarımı izinsiz kullanması ve eşyalarımı dağıtması beni çılgına çevirir,Anger,Anger
10731,"-dünyada savaştan, açlıktan ölen insanlar olduğunu düşündüğümde",Sadness,Sadness
10732,pis bir tuvalete girdiğim zaman,Disgust,Disgust
10733,çok kötü insanların nasıl öyle olduklarına şaşırıyorum,Surprise,Surprise
10734,arkadaşlarımla veya ailemle gülerek yaptığım her şey,Happy,Happy
10735,dişçiye her gittiğimde ödüm patlar,Fear,Fear
10736,ne zaman hakkımı yeseler patlarım sinirden,Anger,Anger
10737,çok çalışıp da karşılığını alamadığım zamanlarda boynum bükülür,Sadness,Sadness
10738,herhangi biri mide bulandırıcı bir şey anlattığı zaman,Disgust,Disgust
10739,beklenmedik bir anda karşıma bir şey çıkması,Surprise,Fear
10746,sınavdan hepsini doğru yaptığımı duyunca çok mutlu olmuştum.,Happy,Happy
10747,trafik kazası yaptığımız zaman çok korkmuştum.,Fear,Fear
10748,arkadaşım haksız yere beni suçlayınca çok öfkelenmiştim.,Anger,Anger
10749,okul arkadaşlarımdan ayrılmak zorunda kalınca çok üzüldüm.,Sadness,Sadness
10750,kardeşimin yemeğinde sinek çıkınca çok tiksinmiştim.,Disgust,Disgust
10751,kardeşimin ameliyat olması gerektiğini öğrendiğimde çok şaşırmıştım.,Surprise,Surprise
10752,bir yıl boyunca çalıştıktan sonra bu liseyi kazandığım an.,Happy,Happy
10753,"motor kazası yaptığım zamandı. kuzenimle motorla onların evine doğru gidiyorduk. kuzenime defalarca viraja girdiğimizi, yavaşlaması gerektiğini söyledim ama o hızını azaltmadı. Bu durumda virajı alamadık ve sağdaki evin duvarın dibine düştük. eğer birkaç santimetre daha yakına düşseydik kafamızı duvara çarpabilirdik.",Fear,Fear
10754,uykumdan sebepsiz yere uyandırıldığım her an sinirleniyorum.,Anger,Anger
10755,bir hastanenin kanser bölümünü ziyarete gittiğim zamandı. hastanede yirmi üç nisan kutlamaları vardı ve dışarı çıkamayacak kadar kötü durumda olanların yanına ziyarete gitmiştik. Onlara hediyelerini verdiğimizde her ne kadar onlar mutlu olsa da gözlerindeki hüzün beni üzmüştü. En kötüsü de dokuz yaşındaki çocuğun iyileştikten sonra bayrama katılacağım demesiydi.,Sadness,Sadness
10756,sınıf arkadaşlarımdan birisi sınıfın ortasında kusmuştu.,Disgust,Disgust
10757,hiç beklemediğim bir anda birinden beklemediğim bir duyum almıştım.,Surprise,Surprise
10758,bir güzel kızın bana iltifat etmesi,Happy,Happy
10759,sevdiğim kız acaba beni seviyor mu diye korktum. saçma gibi ama evet.,Fear,Fear
10760,hoca doksan dokuz aldığım sınavda bir puan vermedi. Bütün sınavlarım yüzdü. O sınav doksan dokuz kaldı. Sonra hocaya laf söyledim. Bana bağırdı. Kimse sevmiyordu. Hep kötü davrandı şerefsiz.,Anger,Anger
10761,servisim geç kaldı. bir saat ayakta bekledim o soğukta.,Sadness,Anger
10762,öğle yemediğinin içinden kıl çıktı.,Disgust,Disgust
10763,aşırı komik bir şeyi sınıfta söyleyince kimsenin beni takmaması.,Surprise,Ambigious
10764,sınav notum doksan beşten yüze yükseltilince mutlu oldum.,Happy,Happy
10765,beden eğitimi dersi bittiğinde eşofmanım yırtıldığını fark ettim ve biri görecek diye çok korktum.,Fear,Fear
10766,arkadaşım bana tarih sorunca ingilizce sınavından sıfır almıştım. Buna çok öfkelendim.,Anger,Anger
10767,beden dersinden kırk beş aldım. Çok üzücüydü.,Sadness,Sadness
10768,balkondan evin içine karafatma girdiğini ve zıpladığını görünce çok tiksindim.,Disgust,Disgust
10769,sarı ay görünce çok şaşırdım.,Surprise,Surprise
10770,galatasaray'ın dördüncü yıldızı alışı,Happy,Happy
10771,asansörde giderken ışıklar gitti ve halen hareket ediyordu ve asansör çok ses çıkarıyordu ve çok korktum.,Fear,Fear
10772,öğretmen bir keresinde yemekhane sırasında küçük diye benim önüme kayması ve sonra yemek alamamam.,Anger,Anger
10773,küçükken bindiğim bisikletim binerken kırılması,Sadness,Sadness
10774,köyden aldığım cipsten kertenkele çıktı,Disgust,Disgust
10775,Hollanda'nın Türk milli takımına yenilmesi,Surprise,Happy
10776,bir insanla her şeyimin aynı çıkıp çok yakın olduğumuz zaman mutlu hissettim.,Happy,Happy
10777,babamın beni erkek arkadaşlarımla gördüğünde korkmuştum. Gerçekten sadece arkadaş.,Fear,Fear
10778,en yakın arkadaşımın arkamdan iş çevirip herkesi bana karşı örgütlemesine ve herkesin benden nefret etmesine öfkelendim.,Anger,Anger
10779,tanıdığım birinin aslında tanıdığım gibi olmadığını anladığımda üzüldüm.,Sadness,Sadness
10782,kardeşim doğduğunda çok mutlu hissetmiştim.,Happy,Happy
10783,evde yalnızken birden elektrikler kesildi ve çok korktum.,Fear,Fear
10784,kardeşimle kavga ettim ve annem dönüp yine bana kızdı ve çok öfkelendim.,Anger,Anger
10785,izmir fen lisesi'ne giremeyince çok üzülmüştüm.,Sadness,Sadness
10786,dışarıda istediğimiz yemekte kıl çıktı. Değiştirdik ama yine çıktı. O zaman çok tiksinmiştim.,Disgust,Disgust
10787,bir ilişkide bir aldatma olunca çok şaşırırım.,Surprise,Surprise
10788,sevdiğim insanlardan iltifat duyduğum zaman mutlu oldum.,Happy,Happy
10789,korku filmi izlediğimde ya da cinayet romanı okuduğumda geceleri çok korktum.,Fear,Fear
10790,"insanların bana haksızlık yaptığı, gıcık ettiği ve sinir ettiği zamanlarda öfkelenirim.",Anger,Anger
10791,ailemden uzak bir ile geldiğimde üzüldüm.,Sadness,Sadness
10793,en beklemediğim insanların benim arkamdan iş çevirmesine çok şaşırdım.,Surprise,Surprise
10794,arkadaşlarımla doğum günümü kutladığımız zaman kendimi mutlu hissediyorum.,Happy,Happy
10795,köydeyken yastığımın altından akrep çıktığı zaman korkmuştum.,Fear,Fear
10796,arkadaşlarımın bana yalan söylediğini öğrendiğim zaman öfkelenmiştim.,Anger,Anger
10797,kaplumbağam öldüğünde bana kış uykusuna yattığını söylemişlerdi. gerçeği öğrendiğimde üzülmüştüm.,Sadness,Sadness
10798,eski fen hocamın karıncaları kutuda toplayıp yediğini öğrendiğim zaman tiksinmiştim.,Disgust,Disgust
10799,kargoyla beklediğim şey erken gelince şaşırmıştım.,Surprise,Surprise
10800,bana hediye alınması,Happy,Happy
10801,genel sınavlardan çok korkmuştum.,Fear,Fear
10802,bana emir verilmesi,Anger,Anger
10803,çok yakın arkadaşlarımla kavga etmek,Sadness,Sadness
10804,ağız şapırdatarak yemek yenmesi,Disgust,Disgust
10805,liseden daha çok beklentim varken umduğumdan farklı çıkması,Surprise,Surprise
10806,kedi köpek severken mutlu oluyorun,Happy,Happy
10807,Teog sınavında çok korkmuştum,Fear,Fear
10808,insanların bana toplum içinde bağırması,Anger,Anger
10809,hayvanım gözümün önünde intihar ettiğinde,Sadness,Sadness
10810,elime bir şey bulaşması,Disgust,Disgust
10811,sınıfta herkesin teneffüste test çözmesi beni çok şaşırtmıştı,Surprise,Surprise
10812,ailecek tatile gitme kararı almamız beni mutlu eder.,Happy,Happy
10813,babamın ameliyat olması beni çok korkutmuştu,Fear,Fear
10814,arkadaşımın sebepsiz yere benimle kavga etmesi beni sinirlendirir.,Anger,Anger
10815,sınavdan düşük not almam,Sadness,Sadness
10816,çöp tenekesinin etrafındaki çöpleri görmem midemi bulandırır.,Disgust,Disgust
10817,annemin konsere gitmeme izin vermemesi,Surprise,Sadness
10818,aşırı mutluluk yaşamam ama okuyacağım lisenin pansiyonunda kaldığım için mutluyum. Ayrıca ailem bana sürpriz bir doğum günü hazırlayınca çok mutlu olmuştum.,Happy,Happy
10819,bu terör haberlerini izledikten sonra bir gece silah sesi duydum ve uyandım. dışarıdan anlam veremediğim bağırma sesleri geliyordu. Silah veya benzeri sesler devam ediyordu. köpekten de çok korkarım. Aynı anda köpeklerde ulumaya başladı. Cidden korktum ve uyuyamadım.,Fear,Fear
10820,şu ana kadar aşırı öfkelendiğim bir durum olmadı ama bir insanın maddi durumuna göre yargılanması beni cidden öfkelendirebilir.,Anger,Anger
10821,duygularım çok geçicidir ama tek üzüldüğüm şey sevip değer verdiğim birinin bana hiç değer vermediğini öğrenmem oldu.,Sadness,Sadness
10822,sokakta yürürken çok iyi görünüp yolun ortasına tüküren ve sümküren insanları görünce tiksiniyorum.,Disgust,Disgust
10823,ilk teog sınavımdan tam puan almayı hiç beklemiyordum. Öğrenince çok şaşırdım.,Surprise,Surprise
10824,tuttuğum takımın maçı kazanması,Happy,Happy
